agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,date,mean_va
USGS,6479010,60,128843,6,9,2014,2021,8,6/9/2015,785
USGS,6479010,60,128843,6,10,2014,2021,8,6/10/2015,699
USGS,6479010,60,128843,6,11,2014,2021,8,6/11/2015,663
USGS,6479010,60,128843,6,12,2014,2021,8,6/12/2015,627
USGS,6479010,60,128843,6,13,2014,2021,8,6/13/2015,539
USGS,6479010,60,128843,6,14,2014,2021,8,6/14/2015,486
USGS,6479010,60,128843,6,15,2014,2021,8,6/15/2015,574
USGS,6479010,60,128843,6,16,2014,2021,8,6/16/2015,636
USGS,6479010,60,128843,6,17,2014,2021,8,6/17/2015,691
USGS,6479010,60,128843,6,18,2014,2021,8,6/18/2015,743
USGS,6479010,60,128843,6,19,2014,2021,8,6/19/2015,805
USGS,6479010,60,128843,6,20,2014,2021,8,6/20/2015,957
USGS,6479010,60,128843,6,21,2014,2021,8,6/21/2015,1610
USGS,6479010,60,128843,6,22,2014,2021,8,6/22/2015,1770
USGS,6479010,60,128843,6,23,2014,2021,8,6/23/2015,1710
USGS,6479010,60,128843,6,24,2014,2021,8,6/24/2015,1580
USGS,6479010,60,128843,6,25,2014,2021,8,6/25/2015,1490
USGS,6479010,60,128843,6,26,2014,2021,8,6/26/2015,1460
USGS,6479010,60,128843,6,27,2014,2021,8,6/27/2015,1640
USGS,6479010,60,128843,6,28,2014,2021,8,6/28/2015,1780
USGS,6479010,60,128843,6,29,2014,2021,8,6/29/2015,1730
USGS,6479010,60,128843,6,30,2014,2021,8,6/30/2015,1690
USGS,6479010,60,128843,7,1,2014,2021,8,7/1/2015,1570
USGS,6479010,60,128843,7,2,2014,2021,8,7/2/2015,1370
USGS,6479010,60,128843,7,3,2014,2021,8,7/3/2015,1220
USGS,6479010,60,128843,7,4,2014,2021,8,7/4/2015,1070
USGS,6479010,60,128843,7,5,2014,2021,8,7/5/2015,965
USGS,6479010,60,128843,7,6,2014,2021,8,7/6/2015,897
