agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,,mean_va
USGS,6478513,60,294960,9,21,2014,2021,8,9/21/2015,3500
USGS,6478513,60,294960,9,22,2014,2021,8,9/22/2015,3260
USGS,6478513,60,294960,9,23,2014,2021,8,9/23/2015,3030
USGS,6478513,60,294960,9,24,2014,2021,8,9/24/2015,2790
USGS,6478513,60,294960,9,25,2014,2021,8,9/25/2015,2590
USGS,6478513,60,294960,9,26,2014,2021,8,9/26/2015,2330
USGS,6478513,60,294960,9,27,2014,2021,8,9/27/2015,2020
USGS,6478513,60,294960,9,28,2014,2021,8,9/28/2015,1820
USGS,6478513,60,294960,9,29,2014,2021,8,9/29/2015,1690
USGS,6478513,60,294960,9,30,2014,2021,8,9/30/2015,1620
USGS,6478513,60,294960,10,1,2014,2022,9,10/1/2015,1500
USGS,6478513,60,294960,10,2,2014,2022,9,10/2/2015,1480
USGS,6478513,60,294960,10,3,2014,2022,9,10/3/2015,1490
USGS,6478513,60,294960,10,4,2014,2022,9,10/4/2015,1430
USGS,6478513,60,294960,10,5,2014,2022,9,10/5/2015,1390
USGS,6478513,60,294960,10,6,2014,2022,9,10/6/2015,1350
USGS,6478513,60,294960,10,7,2014,2022,9,10/7/2015,1320
USGS,6478513,60,294960,10,8,2014,2022,9,10/8/2015,1290
USGS,6478513,60,294960,10,9,2014,2022,9,10/9/2015,1250
USGS,6478513,60,294960,10,10,2014,2022,9,10/10/2015,1370
USGS,6478513,60,294960,10,11,2014,2022,9,10/11/2015,1580
USGS,6478513,60,294960,10,12,2014,2022,9,10/12/2015,1570
USGS,6478513,60,294960,10,13,2014,2022,9,10/13/2015,1510
USGS,6478513,60,294960,10,14,2014,2022,9,10/14/2015,1410
USGS,6478513,60,294960,10,15,2014,2022,9,10/15/2015,1280
USGS,6478513,60,294960,10,16,2014,2022,9,10/16/2015,1190
USGS,6478513,60,294960,10,17,2014,2022,9,10/17/2015,1140
USGS,6478513,60,294960,10,18,2014,2021,8,10/18/2015,1250
USGS,6478513,60,294960,10,19,2014,2021,8,10/19/2015,1210
USGS,6478513,60,294960,10,20,2014,2021,8,10/20/2015,1180
USGS,6478513,60,294960,10,21,2014,2021,8,10/21/2015,1170
USGS,6478513,60,294960,10,22,2014,2021,8,10/22/2015,1160
USGS,6478513,60,294960,10,23,2014,2021,8,10/23/2015,1150
USGS,6478513,60,294960,10,24,2014,2021,8,10/24/2015,1150
USGS,6478513,60,294960,10,25,2014,2021,8,10/25/2015,1150
USGS,6478513,60,294960,10,26,2014,2021,8,10/26/2015,1150
USGS,6478513,60,294960,10,27,2014,2021,8,10/27/2015,1140
USGS,6478513,60,294960,10,28,2014,2021,8,10/28/2015,1130
