type,time,flow
ghb,7/5/2015 23:59,-24682.314
ghb,7/6/2015 2:23,-24682.314
ghb,7/6/2015 4:47,-24682.314
ghb,7/6/2015 7:11,-24682.314
ghb,7/6/2015 9:35,-24682.313
ghb,7/6/2015 11:59,-24682.313
ghb,7/6/2015 14:23,-24682.313
ghb,7/6/2015 16:47,-24682.313
ghb,7/6/2015 19:11,-24682.313
ghb,7/6/2015 21:35,-24682.314
ghb,7/6/2015 23:59,-24682.314
ghb,7/7/2015 2:23,-24682.314
ghb,7/7/2015 4:47,-24682.314
ghb,7/7/2015 7:11,-24682.314
ghb,7/7/2015 9:35,-24682.313
ghb,7/7/2015 11:59,-24682.313
ghb,7/7/2015 14:23,-24682.313
ghb,7/7/2015 16:47,-24682.313
ghb,7/7/2015 19:11,-24682.313
ghb,7/7/2015 21:35,-24682.314
ghb,7/7/2015 23:59,-24682.314
ghb,7/8/2015 2:23,-24682.314
ghb,7/8/2015 4:47,-24682.316
ghb,7/8/2015 7:11,-24682.314
ghb,7/8/2015 9:35,-24682.316
ghb,7/8/2015 11:59,-24682.316
ghb,7/8/2015 14:23,-24682.316
ghb,7/8/2015 16:47,-24682.322
ghb,7/8/2015 19:11,-24682.322
ghb,7/8/2015 21:35,-24682.32
ghb,7/8/2015 23:59,-24682.322
ghb,7/9/2015 2:23,-24682.322
ghb,7/9/2015 4:47,-24682.326
ghb,7/9/2015 7:11,-24682.332
ghb,7/9/2015 9:35,-24682.334
ghb,7/9/2015 11:59,-24682.336
ghb,7/9/2015 14:23,-24682.338
ghb,7/9/2015 16:47,-24682.34
ghb,7/9/2015 19:11,-24682.348
ghb,7/9/2015 21:35,-24682.342
ghb,7/9/2015 23:59,-24682.348
ghb,7/10/2015 2:23,-24682.354
ghb,7/10/2015 4:47,-24682.357
ghb,7/10/2015 7:11,-24682.367
ghb,7/10/2015 9:35,-24682.381
ghb,7/10/2015 12:00,-24682.389
ghb,7/10/2015 14:24,-24682.408
ghb,7/10/2015 16:48,-24682.428
ghb,7/10/2015 19:12,-24682.436
ghb,7/10/2015 21:36,-24682.451
ghb,7/11/2015 0:00,-24682.477
ghb,7/11/2015 2:24,-24682.496
ghb,7/11/2015 4:48,-24682.508
ghb,7/11/2015 7:12,-24682.535
ghb,7/11/2015 9:36,-24682.557
ghb,7/11/2015 12:00,-24682.582
ghb,7/11/2015 14:24,-24682.617
ghb,7/11/2015 16:48,-24682.654
ghb,7/11/2015 19:12,-24682.697
ghb,7/11/2015 21:36,-24682.773
ghb,7/12/2015 0:00,-24682.863
ghb,7/12/2015 2:24,-24682.957
ghb,7/12/2015 4:48,-24683.035
ghb,7/12/2015 7:12,-24683.16
ghb,7/12/2015 9:36,-24683.295
ghb,7/12/2015 12:00,-24683.43
ghb,7/12/2015 14:24,-24683.568
ghb,7/12/2015 16:48,-24683.676
ghb,7/12/2015 19:12,-24683.873
ghb,7/12/2015 21:36,-24684.09
ghb,7/13/2015 0:00,-24684.4
ghb,7/13/2015 2:24,-24684.705
ghb,7/13/2015 4:48,-24685.227
ghb,7/13/2015 7:12,-24685.656
ghb,7/13/2015 9:36,-24686.051
ghb,7/13/2015 12:00,-24686.525
ghb,7/13/2015 14:24,-24687.041
ghb,7/13/2015 16:48,-24687.537
ghb,7/13/2015 19:12,-24688.115
ghb,7/13/2015 21:36,-24688.77
ghb,7/14/2015 0:00,-24689.459
ghb,7/14/2015 2:24,-24690.309
ghb,7/14/2015 4:48,-24690.898
ghb,7/14/2015 7:12,-24691.543
ghb,7/14/2015 9:36,-24692.188
ghb,7/14/2015 12:00,-24692.697
ghb,7/14/2015 14:24,-24693.229
ghb,7/14/2015 16:48,-24693.914
ghb,7/14/2015 19:12,-24694.533
ghb,7/14/2015 21:36,-24695.186
ghb,7/15/2015 0:00,-24696.064
ghb,7/15/2015 2:24,-24697.064
ghb,7/15/2015 4:48,-24698.137
ghb,7/15/2015 7:12,-24699.084
ghb,7/15/2015 9:36,-24699.891
ghb,7/15/2015 12:00,-24700.998
ghb,7/15/2015 14:24,-24702.119
ghb,7/15/2015 16:48,-24703.232
ghb,7/15/2015 19:12,-24704.051
ghb,7/15/2015 21:36,-24704.809
ghb,7/16/2015 0:00,-24705.539
ghb,7/16/2015 2:24,-24706.248
ghb,7/16/2015 4:48,-24707.223
ghb,7/16/2015 7:12,-24708.107
ghb,7/16/2015 9:36,-24708.852
ghb,7/16/2015 12:00,-24709.605
ghb,7/16/2015 14:24,-24710.713
ghb,7/16/2015 16:48,-24711.553
ghb,7/16/2015 19:12,-24712.324
ghb,7/16/2015 21:36,-24713.25
ghb,7/17/2015 0:00,-24714.309
ghb,7/17/2015 2:24,-24715.359
ghb,7/17/2015 4:48,-24716.238
ghb,7/17/2015 7:12,-24717.092
ghb,7/17/2015 9:36,-24717.85
ghb,7/17/2015 12:00,-24718.801
ghb,7/17/2015 14:24,-24719.531
ghb,7/17/2015 16:48,-24720.619
ghb,7/17/2015 19:12,-24721.709
ghb,7/17/2015 21:36,-24723.09
ghb,7/18/2015 0:00,-24723.973
ghb,7/18/2015 2:24,-24724.811
ghb,7/18/2015 4:48,-24725.609
ghb,7/18/2015 7:12,-24726.229
ghb,7/18/2015 9:36,-24727
ghb,7/18/2015 12:00,-24727.736
ghb,7/18/2015 14:24,-24728.633
ghb,7/18/2015 16:48,-24729.447
ghb,7/18/2015 19:12,-24730.373
ghb,7/18/2015 21:36,-24731.328
ghb,7/19/2015 0:00,-24731.967
ghb,7/19/2015 2:24,-24732.424
ghb,7/19/2015 4:48,-24732.781
ghb,7/19/2015 7:12,-24733.064
ghb,7/19/2015 9:36,-24733.381
ghb,7/19/2015 12:00,-24733.768
ghb,7/19/2015 14:24,-24734.34
ghb,7/19/2015 16:48,-24734.807
ghb,7/19/2015 19:12,-24735.359
ghb,7/19/2015 21:36,-24735.756
ghb,7/20/2015 0:00,-24736.098
ghb,7/20/2015 2:24,-24736.395
ghb,7/20/2015 4:48,-24736.662
ghb,7/20/2015 7:12,-24736.992
ghb,7/20/2015 9:36,-24737.268
ghb,7/20/2015 12:00,-24737.496
ghb,7/20/2015 14:24,-24737.762
ghb,7/20/2015 16:48,-24737.939
ghb,7/20/2015 19:12,-24738.045
ghb,7/20/2015 21:36,-24738.16
ghb,7/21/2015 0:00,-24738.287
ghb,7/21/2015 2:24,-24738.506
ghb,7/21/2015 4:48,-24738.568
ghb,7/21/2015 7:12,-24738.625
ghb,7/21/2015 9:36,-24738.686
ghb,7/21/2015 12:00,-24738.783
ghb,7/21/2015 14:24,-24738.867
ghb,7/21/2015 16:48,-24738.896
ghb,7/21/2015 19:12,-24738.896
ghb,7/21/2015 21:36,-24738.893
ghb,7/22/2015 0:00,-24738.881
ghb,7/22/2015 2:24,-24738.869
ghb,7/22/2015 4:48,-24738.865
ghb,7/22/2015 7:12,-24738.85
ghb,7/22/2015 9:36,-24738.844
ghb,7/22/2015 12:00,-24738.826
ghb,7/22/2015 14:24,-24738.805
ghb,7/22/2015 16:48,-24738.77
ghb,7/22/2015 19:12,-24738.746
ghb,7/22/2015 21:36,-24738.725
ghb,7/23/2015 0:00,-24738.688
ghb,7/23/2015 2:24,-24738.666
ghb,7/23/2015 4:48,-24738.629
ghb,7/23/2015 7:12,-24738.582
ghb,7/23/2015 9:36,-24738.533
ghb,7/23/2015 12:00,-24738.459
ghb,7/23/2015 14:24,-24738.406
ghb,7/23/2015 16:48,-24738.332
ghb,7/23/2015 19:12,-24738.256
ghb,7/23/2015 21:36,-24738.195
ghb,7/24/2015 0:00,-24738.109
ghb,7/24/2015 2:24,-24738.047
ghb,7/24/2015 4:48,-24737.953
ghb,7/24/2015 7:12,-24737.906
ghb,7/24/2015 9:36,-24737.824
ghb,7/24/2015 12:00,-24737.727
ghb,7/24/2015 14:24,-24737.586
ghb,7/24/2015 16:48,-24737.441
ghb,7/24/2015 19:12,-24737.283
ghb,7/24/2015 21:36,-24737.041
ghb,7/25/2015 0:00,-24736.807
ghb,7/25/2015 2:24,-24736.592
ghb,7/25/2015 4:48,-24736.291
ghb,7/25/2015 7:12,-24736.09
ghb,7/25/2015 9:36,-24735.836
ghb,7/25/2015 12:00,-24735.615
ghb,7/25/2015 14:24,-24735.443
ghb,7/25/2015 16:48,-24735.176
ghb,7/25/2015 19:12,-24734.93
ghb,7/25/2015 21:36,-24734.594
ghb,7/26/2015 0:00,-24734.184
ghb,7/26/2015 2:24,-24733.674
ghb,7/26/2015 4:48,-24733.352
ghb,7/26/2015 7:12,-24732.838
ghb,7/26/2015 9:36,-24732.43
ghb,7/26/2015 12:00,-24731.799
ghb,7/26/2015 14:24,-24731.236
ghb,7/26/2015 16:48,-24730.377
ghb,7/26/2015 19:12,-24729.291
ghb,7/26/2015 21:36,-24728.51
ghb,7/27/2015 0:00,-24727.77
ghb,7/27/2015 2:24,-24726.82
ghb,7/27/2015 4:48,-24725.92
ghb,7/27/2015 7:12,-24724.996
ghb,7/27/2015 9:36,-24724.256
ghb,7/27/2015 12:00,-24723.598
ghb,7/27/2015 14:24,-24722.857
ghb,7/27/2015 16:48,-24722.125
ghb,7/27/2015 19:12,-24721.342
ghb,7/27/2015 21:36,-24720.49
ghb,7/28/2015 0:00,-24719.525
ghb,7/28/2015 2:24,-24718.535
ghb,7/28/2015 4:48,-24717.371
ghb,7/28/2015 7:12,-24716.402
ghb,7/28/2015 9:36,-24715.313
ghb,7/28/2015 12:00,-24714.314
ghb,7/28/2015 14:24,-24713.281
ghb,7/28/2015 16:48,-24712.262
ghb,7/28/2015 19:12,-24711.053
ghb,7/28/2015 21:36,-24710.033
ghb,7/29/2015 0:00,-24708.738
ghb,7/29/2015 2:24,-24707.418
ghb,7/29/2015 4:48,-24706.148
ghb,7/29/2015 7:12,-24704.916
ghb,7/29/2015 9:36,-24703.729
ghb,7/29/2015 12:00,-24702.449
ghb,7/29/2015 14:24,-24701.066
ghb,7/29/2015 16:48,-24699.732
ghb,7/29/2015 19:12,-24698.006
ghb,7/29/2015 21:36,-24696.645
ghb,7/30/2015 0:00,-24695.596
ghb,7/30/2015 2:24,-24694.57
ghb,7/30/2015 4:48,-24693.455
ghb,7/30/2015 7:12,-24692.357
ghb,7/30/2015 9:36,-24691.238
ghb,7/30/2015 12:00,-24690.123
ghb,7/30/2015 14:24,-24688.932
ghb,7/30/2015 16:48,-24687.738
ghb,7/30/2015 19:12,-24686.498
ghb,7/30/2015 21:36,-24685.24
ghb,7/31/2015 0:00,-24683.803
ghb,7/31/2015 2:24,-24682.656
ghb,7/31/2015 4:48,-24680.691
ghb,7/31/2015 7:12,-24678.855
ghb,7/31/2015 9:36,-24677.398
ghb,7/31/2015 12:00,-24675.984
ghb,7/31/2015 14:24,-24674.736
ghb,7/31/2015 16:48,-24673.49
ghb,7/31/2015 19:12,-24672.234
ghb,7/31/2015 21:36,-24671.023
ghb,8/1/2015 0:00,-24669.932
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
, , 
