agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,date,count_nu,mean_va
USGS,6485950,60,128929,9,5,2015,2021,9/5/2015,7,2280
USGS,6485950,60,128929,9,6,2015,2021,9/6/2015,7,2190
USGS,6485950,60,128929,9,7,2015,2021,9/7/2015,7,2170
USGS,6485950,60,128929,9,8,2015,2021,9/8/2015,7,2180
USGS,6485950,60,128929,9,9,2015,2021,9/9/2015,7,2080
USGS,6485950,60,128929,9,10,2015,2021,9/10/2015,7,2010
USGS,6485950,60,128929,9,11,2015,2021,9/11/2015,7,2070
USGS,6485950,60,128929,9,12,2015,2021,9/12/2015,7,2220
USGS,6485950,60,128929,9,13,2015,2021,9/13/2015,7,2540
USGS,6485950,60,128929,9,14,2015,2021,9/14/2015,7,3220
USGS,6485950,60,128929,9,15,2015,2021,9/15/2015,7,4130
USGS,6485950,60,128929,9,16,2015,2021,9/16/2015,7,5050
USGS,6485950,60,128929,9,17,2015,2021,9/17/2015,7,6210
USGS,6485950,60,128929,9,18,2015,2021,9/18/2015,7,6940
USGS,6485950,60,128929,9,19,2015,2021,9/19/2015,7,6990
USGS,6485950,60,128929,9,20,2015,2021,9/20/2015,7,6710
USGS,6485950,60,128929,9,21,2015,2021,9/21/2015,7,6680
USGS,6485950,60,128929,9,22,2015,2021,9/22/2015,7,6950
USGS,6485950,60,128929,9,23,2015,2021,9/23/2015,7,7280
USGS,6485950,60,128929,9,24,2015,2021,9/24/2015,7,7980
USGS,6485950,60,128929,9,25,2015,2021,9/25/2015,7,8040
USGS,6485950,60,128929,9,26,2015,2021,9/26/2015,7,7210
USGS,6485950,60,128929,9,27,2015,2021,9/27/2015,7,6120
USGS,6485950,60,128929,9,28,2015,2021,9/28/2015,7,5350
USGS,6485950,60,128929,9,29,2015,2021,9/29/2015,7,4800
USGS,6485950,60,128929,9,30,2015,2021,9/30/2015,7,4300
USGS,6485950,60,128929,10,1,2016,2022,10/1/2015,7,4000
USGS,6485950,60,128929,10,2,2016,2022,10/2/2015,7,4000
USGS,6485950,60,128929,10,3,2016,2022,10/3/2015,7,3830
USGS,6485950,60,128929,10,4,2016,2022,10/4/2015,7,3760
USGS,6485950,60,128929,10,5,2016,2022,10/5/2015,7,3960
USGS,6485950,60,128929,10,6,2016,2022,10/6/2015,7,4220
USGS,6485950,60,128929,10,7,2016,2022,10/7/2015,7,4550
USGS,6485950,60,128929,10,8,2016,2022,10/8/2015,7,4600
USGS,6485950,60,128929,10,9,2016,2022,10/9/2015,7,4580
USGS,6485950,60,128929,10,10,2016,2022,10/10/2015,7,4640
USGS,6485950,60,128929,10,11,2016,2022,10/11/2015,7,4780
USGS,6485950,60,128929,10,12,2016,2022,10/12/2015,7,4830
USGS,6485950,60,128929,10,13,2016,2022,10/13/2015,7,5020
USGS,6485950,60,128929,10,14,2016,2021,10/14/2015,6,5970
USGS,6485950,60,128929,10,15,2016,2021,10/15/2015,6,5990
USGS,6485950,60,128929,10,16,2016,2021,10/16/2015,6,5590
USGS,6485950,60,128929,10,17,2016,2021,10/17/2015,6,5180
USGS,6485950,60,128929,10,18,2016,2021,10/18/2015,6,4910
USGS,6485950,60,128929,10,19,2016,2021,10/19/2015,6,4700
USGS,6485950,60,128929,10,20,2016,2021,10/20/2015,6,4530
USGS,6485950,60,128929,10,21,2016,2021,10/21/2015,6,4350
USGS,6485950,60,128929,10,22,2016,2021,10/22/2015,6,4200
USGS,6485950,60,128929,10,23,2016,2021,10/23/2015,6,4070
USGS,6485950,60,128929,10,24,2016,2021,10/24/2015,6,4040
USGS,6485950,60,128929,10,25,2016,2021,10/25/2015,6,4000
USGS,6485950,60,128929,10,26,2016,2021,10/26/2015,6,3950
USGS,6485950,60,128929,10,27,2016,2021,10/27/2015,6,3900
USGS,6485950,60,128929,10,28,2016,2021,10/28/2015,6,3830
USGS,6485950,60,128929,10,29,2016,2021,10/29/2015,6,3730
USGS,6485950,60,128929,10,30,2016,2021,10/30/2015,6,3650
USGS,6485950,60,128929,10,31,2016,2021,10/31/2015,6,3640
USGS,6485950,60,128929,11,1,2016,2021,11/1/2015,6,3630
USGS,6485950,60,128929,11,2,2016,2021,11/2/2015,6,3570
USGS,6485950,60,128929,11,3,2016,2021,11/3/2015,6,3530
USGS,6485950,60,128929,11,4,2016,2021,11/4/2015,6,3560
USGS,6485950,60,128929,11,5,2016,2021,11/5/2015,6,3570
USGS,6485950,60,128929,11,6,2016,2021,11/6/2015,6,3570
USGS,6485950,60,128929,11,7,2016,2021,11/7/2015,6,3600
USGS,6485950,60,128929,11,8,2016,2021,11/8/2015,6,3630
USGS,6485950,60,128929,11,9,2016,2021,11/9/2015,6,3630
USGS,6485950,60,128929,11,10,2016,2021,11/10/2015,6,3620
USGS,6485950,60,128929,11,11,2016,2021,11/11/2015,6,3590
USGS,6485950,60,128929,11,12,2016,2021,11/12/2015,6,3500
USGS,6485950,60,128929,11,13,2016,2021,11/13/2015,6,3350
USGS,6485950,60,128929,11,14,2016,2021,11/14/2015,6,3270
USGS,6485950,60,128929,11,15,2016,2021,11/15/2015,6,3280
USGS,6485950,60,128929,11,16,2016,2021,11/16/2015,6,3340
USGS,6485950,60,128929,11,17,2016,2021,11/17/2015,6,3400
USGS,6485950,60,128929,11,18,2016,2021,11/18/2015,6,3450
USGS,6485950,60,128929,11,19,2016,2021,11/19/2015,6,3470
USGS,6485950,60,128929,11,20,2016,2021,11/20/2015,6,3530
USGS,6485950,60,128929,11,21,2016,2021,11/21/2015,6,3660
USGS,6485950,60,128929,11,22,2016,2021,11/22/2015,6,3630
USGS,6485950,60,128929,11,23,2016,2021,11/23/2015,6,3530
USGS,6485950,60,128929,11,24,2016,2021,11/24/2015,6,3460
USGS,6485950,60,128929,11,25,2016,2021,11/25/2015,6,3410
USGS,6485950,60,128929,11,26,2016,2021,11/26/2015,6,3340
